,home_team,away_team,score,kick_off_time,home_goals,away_goals,date,referee,stadium,attendance,season
0,Cork City,Bohemians,1 - 2,19:45,R. Keating 82',"19' G. Horton
53' J. Flores",2023-02-17,'Robert Hennessy',"""Turner's Cross""",6487,2023
1,Dundalk,UCD,1 - 1,19:45,J. Martin 34',78' C. Behan,2023-02-17,'Arnold Hunter','Oriel Park',3142,2023
2,Shelbourne,Drogheda United,0 - 0,19:45,,,2023-02-17,'Paul McLaughlin','Tolka Park',3424,2023
3,Sligo Rovers,Shamrock Rovers,1 - 1,19:45,L. Browning-Lagerfeldt 94',17' G. Burke,2023-02-18,'Damien MacGraith','The Showgrounds',4248,2023
4,Bohemians,Dundalk,2 - 1,19:45,"J. Flores 46'
D. McDaid 71'",89' J. Yli-Kokko,2023-02-24,'Robert Harvey','Dalymount Park',4432,2023
5,Derry City,Cork City,2 - 0,19:45,"P. McEleney 31'
J. McEneff 63'",,2023-02-24,'Damien MacGraith','The Ryan McBride Brandywell Stadium',3305,2023
6,Drogheda United,Shamrock Rovers,1 - 1,19:45,R. Brennan 89',53' G. Burke,2023-02-24,'Sean Grant','Weavers Park',2182,2023
7,St Patrick's Athletic,Shelbourne,1 - 0,19:45,E. Doyle 84',,2023-02-24,'Neil Doyle','Richmond Park',4930,2023
8,UCD,Sligo Rovers,2 - 3,19:45,"A. Nolan 5'
D. Kinsella-Bishop 49'","21' M. Mata
69' M. Mata
82' M. Mata",2023-02-24,'Raymond Matthews','UCD Bowl',716,2023
9,Cork City,UCD,4 - 0,19:45,"M. Healy 13'
D. Crowley 45'
R. Keating 66'
E. Varian 71'",,2023-03-03,'Sean Grant',"""Turner's Cross""",4857,2023
10,Drogheda United,Sligo Rovers,1 - 0,19:45,A. Foley 59',,2023-03-03,'Adriano Reale','Weavers Park',1544,2023
11,Dundalk,St Patrick's Athletic,5 - 0,19:45,"P. Hoban 5'
L. Annesley 15'
R. Tulloch 51'
D. Kelly 53'
C. Malley 84'",,2023-03-03,'Paul McLaughlin','Oriel Park',3487,2023
12,Shelbourne,Bohemians,1 - 0,19:45,K. Leavy 78',,2023-03-03,'Arnold Hunter','Tolka Park',4140,2023
13,Shamrock Rovers,Derry City,1 - 2,20:00,J. Kenny 26',"18' B. Doherty
54' J. McGonigle",2023-03-03,'Neil Doyle','Tallaght Stadium',7626,2023
14,Bohemians,Drogheda United,3 - 1,19:45,"J. Flores 9'
A. Coote 38'
J. Akintunde 51'",15' F. Draper,2023-03-06,'Raymond Matthews','Dalymount Park',4114,2023
15,Dundalk,Shelbourne,2 - 1,19:45,"R. Tulloch 47'
A. Boyle 68'",15' J. Wilson,2023-03-06,'Damien MacGraith','Oriel Park',2766,2023
16,Sligo Rovers,St Patrick's Athletic,2 - 1,19:45,"R. Hutchinson 32'
F. Hartmann 67'",62' C. Forrester,2023-03-06,'Robert Hennessy','The Showgrounds',2751,2023
17,UCD,Derry City,0 - 4,19:45,E. Osam 75',"15' J. McEneff
41' J. McEneff
65' O. O'Neill",2023-03-06,'David Dunne','UCD Bowl',406,2023
18,Shamrock Rovers,Cork City,4 - 4,20:00,"R. Gaffney 14'
L. Grace 53'
S. Power 84'
S. Hoare 97'","34' R. Keating
38' D. Crowley
58' K. Čustović
69' D. Crowley",2023-03-06,'Robert Harvey','Tallaght Stadium',4028,2023
19,Derry City,Dundalk,0 - 0,19:45,,,2023-03-10,'Robert Hennessy','The Ryan McBride Brandywell Stadium',3550,2023
20,Shelbourne,Shamrock Rovers,0 - 0,19:45,,,2023-03-10,'Paul McLaughlin','Tolka Park',4140,2023
21,St Patrick's Athletic,Bohemians,0 - 2,19:45,,"18' J. Afolabi
92' D. Williams",2023-03-10,'Neil Doyle','Richmond Park',5002,2023
22,UCD,Drogheda United,0 - 1,19:45,,73' E. Adegboyega,2023-03-10,"""Kevin O'Sullivan""",'UCD Bowl',438,2023
23,Sligo Rovers,Cork City,2 - 2,19:45,"É. Clancy 79'
M. Mata 93'","18' J. Häkkinen
63' R. Keating",2023-03-11,'Arnold Hunter','The Showgrounds',3178,2023
24,Drogheda United,Dundalk,0 - 1,19:45,,65' C. Malley,2023-03-16,'Paul McLaughlin','Weavers Park',2193,2023
25,Cork City,Shelbourne,0 - 2,17:00,J. Honohan 10',50' J. Moylan,2023-03-17,'Raymond Matthews',"""Turner's Cross""",5078,2023
26,Shamrock Rovers,St Patrick's Athletic,2 - 2,17:00,"R. Towell 20'
J. Byrne 54'","42' E. Doyle
88' J. Mulraney",2023-03-17,'Damien MacGraith','Tallaght Stadium',7674,2023
27,Bohemians,UCD,2 - 1,19:45,"P. Kirk 55'
A. Coote 58'",12' D. Kinsella-Bishop,2023-03-17,'Robert Harvey','Dalymount Park',4017,2023
28,Derry City,Sligo Rovers,1 - 1,19:45,C. Coll 81',25' M. Mata,2023-03-17,'Adriano Reale','The Ryan McBride Brandywell Stadium',3210,2023
29,Cork City,Drogheda United,1 - 1,19:45,"R. Keating 17'
A. Gilchrist 40'",,2023-03-31,'Robert Harvey',"""Turner's Cross""",4069,2023
30,Dundalk,Shamrock Rovers,0 - 4,19:45,,"22' R. Gaffney
37' L. Grace
71' J. Kenny
76' G. Burke",2023-03-31,'Arnold Hunter','Oriel Park',3761,2023
31,Shelbourne,Derry City,0 - 1,19:45,,11' R. Graydon,2023-03-31,'Paul McLaughlin','Tolka Park',2950,2023
32,St Patrick's Athletic,UCD,3 - 0,19:45,"C. Forrester 16'
J. Mulraney 38'
C. Forrester 52'",,2023-03-31,'Sean Grant','Richmond Park',3411,2023
33,Sligo Rovers,Bohemians,0 - 1,19:45,,83' K. Nowak,2023-04-01,'Robert Hennessy','The Showgrounds',3651,2023
34,Bohemians,Shamrock Rovers,0 - 2,19:45,,"44' N. Farrugia
67' R. Gaffney",2023-04-07,'Robert Harvey','Dalymount Park',4209,2023
35,Derry City,Drogheda United,0 - 1,19:45,,78' E. Ahui,2023-04-07,'Arnold Hunter','The Ryan McBride Brandywell Stadium',3605,2023
36,Dundalk,Sligo Rovers,1 - 2,19:45,R. Tulloch 44',"16' M. Mata
89' S. Radosavljević",2023-04-07,'Damien MacGraith','Oriel Park',2457,2023
37,St Patrick's Athletic,Cork City,4 - 0,19:45,"J. Mulraney 15'
J. McClelland 64'
J. Lennon 75'
M. Doyle 90'",,2023-04-07,'Robert Hennessy','Richmond Park',3689,2023
38,UCD,Shelbourne,0 - 0,19:45,,,2023-04-07,"""Eoghan O'Shea""",'UCD Bowl',968,2023
39,Cork City,Dundalk,1 - 0,17:00,C. Murphy 38',,2023-04-10,'Sean Grant',"""Turner's Cross""",3647,2023
40,Derry City,Bohemians,0 - 1,19:00,,66' D. Williams,2023-04-10,'Neil Doyle','The Ryan McBride Brandywell Stadium',3600,2023
41,Drogheda United,St Patrick's Athletic,1 - 3,19:45,D. Grimes 23',"19' C. Forrester
34' C. Forrester
95' E. Doyle",2023-04-10,"""Kevin O'Sullivan""",'Weavers Park',2225,2023
42,Shelbourne,Sligo Rovers,2 - 1,19:45,M. Smith 52',"36' D. Lafferty
58' J. Mahon",2023-04-10,'Robert Harvey','Tolka Park',2100,2023
43,Shamrock Rovers,UCD,3 - 0,20:00,"G. Burke 21'
G. Burke 25'
J. Byrne 58'",,2023-04-10,'Damien MacGraith','Tallaght Stadium',4012,2023
44,Bohemians,St Patrick's Athletic,2 - 3,19:45,"A. McDonnell 14'
D. Williams 62'","19' C. Forrester
23' J. McClelland
30' M. Doyle",2023-04-14,'Paul McLaughlin','Dalymount Park',4428,2023
45,Shamrock Rovers,Shelbourne,2 - 2,19:45,"G. Burke 18'
G. Burke 54'
Roberto Lopes 77'",51' M. Smith,2023-04-14,'Neil Doyle','Tallaght Stadium',6835,2023
46,UCD,Cork City,1 - 0,19:45,C. Behan 1',,2023-04-14,'Adriano Reale','UCD Bowl',519,2023
47,Sligo Rovers,Drogheda United,1 - 1,19:45,M. Mata 63',52' R. Brennan,2023-04-15,'Arnold Hunter','The Showgrounds',2317,2023
48,Dundalk,Derry City,2 - 2,15:00,"R. Benson 71'
J. Yli-Kokko 72'","44' B. Doherty
79' C. Kavanagh",2023-04-16,'Robert Hennessy','Oriel Park',2377,2023
49,Cork City,Derry City,1 - 3,19:45,T. Owolabi 93',"38' R. Boyce
60' M. Duffy
78' C. Whelan",2023-04-21,'Robert Harvey',"""Turner's Cross""",3307,2023
50,Drogheda United,Bohemians,0 - 2,19:45,,"17' P. Kirk
94' D. McDaid",2023-04-21,'Sean Grant','Weavers Park',2175,2023
51,Shelbourne,Dundalk,1 - 1,19:45,J. Moylan 56',81' R. Tulloch,2023-04-21,'Damien MacGraith','Tolka Park',2873,2023
52,St Patrick's Athletic,Shamrock Rovers,0 - 2,19:45,,"20' J. Kenny
69' T. Clarke",2023-04-21,'Robert Hennessy','Richmond Park',5011,2023
53,Sligo Rovers,UCD,3 - 1,19:45,"M. Mata 5'
F. Hartmann 25'
F. Hartmann 76'",45' M. Dignam,2023-04-22,'Paul McLaughlin','The Showgrounds',2353,2023
54,Derry City,St Patrick's Athletic,2 - 0,19:45,"B. Doherty 71'
C. Whelan 79'",,2023-04-28,'Paul McLaughlin','The Ryan McBride Brandywell Stadium',3054,2023
55,Dundalk,Drogheda United,3 - 2,19:45,"R. O'Kane 23'
P. Hoban 28'
J. Martin 91'","54' D. Rooney
72' F. Draper",2023-04-28,'Neil Doyle','Oriel Park',2825,2023
56,Shelbourne,Cork City,2 - 1,19:45,"M. Smith 48'
J. Moylan 83'",87' J. O'Brien-Whitmarsh,2023-04-28,'Raymond Matthews','Tolka Park',2782,2023
57,UCD,Bohemians,1 - 1,19:45,J. Doyle 88',53' J. Afolabi,2023-04-28,"""Kevin O'Sullivan""",'UCD Bowl',1567,2023
58,Shamrock Rovers,Sligo Rovers,2 - 1,20:00,"J. Kenny 19'
T. Clarke 64'",69' G. Bolger,2023-04-28,'Damien MacGraith','Tallaght Stadium',5512,2023
59,Bohemians,Cork City,5 - 0,17:00,"J. Flores 32'
A. McDonnell 57'
A. Coote 78'
A. Coote 80'
J. McManus 84'",,2023-05-01,'Adriano Reale','Dalymount Park',4145,2023
60,Drogheda United,Shelbourne,1 - 1,17:00,F. Draper 49',68' E. Caffrey,2023-05-01,'Robert Hennessy','Weavers Park',2055,2023
61,St Patrick's Athletic,Sligo Rovers,0 - 1,15:00,,56' M. Mata,2023-05-01,'Neil Doyle','Richmond Park',4265,2023
62,UCD,Dundalk,0 - 2,17:00,,"35' J. Martin
94' R. O'Kane",2023-05-01,'Sean Grant','UCD Bowl',759,2023
63,Derry City,Shamrock Rovers,0 - 2,19:15,,"30' R. Towell
46' J. Byrne",2023-05-01,'Robert Harvey','The Ryan McBride Brandywell Stadium',3700,2023
64,Cork City,St Patrick's Athletic,2 - 3,19:45,"T. Owolabi 15'
J. O'Brien-Whitmarsh 20'","6' C. Carty
55' J. Mulraney
80' A. Murphy",2023-05-05,"""Eoghan O'Shea""","""Turner's Cross""",3211,2023
65,Drogheda United,Derry City,0 - 1,19:45,,12' A. O'Reilly,2023-05-05,'Damien MacGraith','Weavers Park',1451,2023
66,Shelbourne,UCD,1 - 0,19:45,Shane Anthony Griffin 39',,2023-05-05,'Robert Harvey','Tolka Park',2319,2023
67,Shamrock Rovers,Bohemians,2 - 0,19:45,"T. Clarke 57'
R. Gaffney 82'",,2023-05-05,'Robert Hennessy','Tallaght Stadium',7864,2023
68,Sligo Rovers,Dundalk,0 - 1,19:45,,84' K. Ward,2023-05-06,'Paul McLaughlin','The Showgrounds',2643,2023
69,Bohemians,Derry City,0 - 1,19:45,,16' R. Graydon,2023-05-12,'Paul McLaughlin','Dalymount Park',4293,2023
70,Dundalk,Cork City,2 - 1,19:45,"C. Elliott 94'
P. Hoban 97'",19' T. Owolabi,2023-05-12,'Damien MacGraith','Oriel Park',2389,2023
71,St Patrick's Athletic,Drogheda United,3 - 0,19:45,"J. McClelland 82'
C. Forrester 90'
C. Forrester 92'",,2023-05-12,'Sean Grant','Richmond Park',4011,2023
72,UCD,Shamrock Rovers,0 - 3,19:45,A. Wells 71',"17' T. Clarke
53' A. Greene",2023-05-12,'David Dunne','UCD Bowl',1673,2023
73,Sligo Rovers,Shelbourne,0 - 3,19:45,,"9' J. Moylan
41' J. Moylan
66' J. Moylan",2023-05-13,'Neil Doyle','The Showgrounds',2431,2023
74,Derry City,Dundalk,3 - 0,19:45,"J. McEneff 19'
B. Kavanagh 60'
M. Duffy 83'",,2023-05-15,'Robert Harvey','The Ryan McBride Brandywell Stadium',3295,2023
75,Shamrock Rovers,St Patrick's Athletic,3 - 2,20:00,"L. Grace 47'
R. Towell 68'
R. Towell 89'","28' M. Doyle
84' B. McCormack",2023-05-15,'Damien MacGraith','Tallaght Stadium',6212,2023
76,Cork City,Sligo Rovers,1 - 0,19:45,R. Keating 15',,2023-05-19,'David Dunne',"""Turner's Cross""",3051,2023
77,Derry City,UCD,4 - 1,19:45,"J. McEneff 13'
M. Duffy 50'
M. Duffy 64'
M. Ward 84'",75' A. Wells,2023-05-19,"""Eoghan O'Shea""",'The Ryan McBride Brandywell Stadium',3350,2023
78,Dundalk,Bohemians,2 - 2,19:45,P. Hoban 3',"30' J. Talbot
77' D. McDaid
87' J. Flores",2023-05-19,'Neil Doyle','Oriel Park',2473,2023
79,Shelbourne,St Patrick's Athletic,0 - 1,19:45,,57' S. Curtis,2023-05-19,'Paul McLaughlin','Tolka Park',3946,2023
80,Shamrock Rovers,Drogheda United,1 - 2,20:00,R. Gaffney 79',"44' F. Draper
57' D. Rooney",2023-05-19,'Robert Harvey','Tallaght Stadium',5157,2023
81,Bohemians,Shelbourne,0 - 0,19:45,,,2023-05-26,'Damien MacGraith','Dalymount Park',4381,2023
82,Cork City,Shamrock Rovers,1 - 0,19:45,R. Keating 85',,2023-05-26,'Sean Grant',"""Turner's Cross""",4240,2023
83,Drogheda United,UCD,3 - 1,19:45,"F. Draper 42'
F. Draper 45'
D. Grimes 67'",19' A. Wells,2023-05-26,"""Kevin O'Sullivan""",'Weavers Park',1629,2023
84,St Patrick's Athletic,Dundalk,2 - 1,19:45,"M. Doyle 30'
C. Carty 79'",48' R. Tulloch,2023-05-26,'Raymond Matthews','Richmond Park',4089,2023
85,Sligo Rovers,Derry City,1 - 0,19:45,W. Fitzgerald 4',,2023-05-27,'Paul McLaughlin','The Showgrounds',2831,2023
86,Bohemians,Sligo Rovers,2 - 0,19:45,"J. Clarke 32'
D. McDaid 68'",,2023-06-02,"""Eoghan O'Shea""",'Dalymount Park',4147,2023
87,Derry City,Shelbourne,0 - 0,19:45,,,2023-06-02,'Robert Hennessy','The Ryan McBride Brandywell Stadium',3560,2023
88,Drogheda United,Cork City,0 - 1,19:45,,59' T. Owolabi,2023-06-02,'Neil Doyle','Weavers Park',1602,2023
89,UCD,St Patrick's Athletic,1 - 3,19:45,D. Kinsella-Bishop 86',"7' C. Carty
42' N. Lewis
64' N. Lewis",2023-06-02,'Gavin Colfer','UCD Bowl',1129,2023
90,Cork City,Bohemians,2 - 1,17:00,"M. Healy 73'
D. Krezic 88'",87' A. McDonnell,2023-06-05,'Robert Harvey',"""Turner's Cross""",3891,2023
91,Shamrock Rovers,Dundalk,2 - 0,19:45,"A. Greene 34'
A. Greene 62'",,2023-06-02,'Paul McLaughlin','Tallaght Stadium',5602,2023
92,Dundalk,UCD,4 - 1,17:00,"P. Hoban 23'
D. Kelly 41'
P. Hoban 53'
P. Hoban 69'",7' J. Doyle,2023-06-05,'Damien MacGraith','Oriel Park',1762,2023
93,Sligo Rovers,Shamrock Rovers,0 - 3,18:00,,"53' R. Gaffney
56' R. Gaffney
88' A. Greene",2023-06-05,'Robert Hennessy','The Showgrounds',2587,2023
94,St Patrick's Athletic,Derry City,4 - 1,18:45,"J. McGrath 36'
E. Doyle 62'
C. Forrester 67'
M. Doyle 79'",65' C. Kavanagh,2023-06-05,'Neil Doyle','Richmond Park',4005,2023
95,Shelbourne,Drogheda United,3 - 2,19:45,"S. Boyd 49'
Shane Anthony Griffin 66'
E. Caffrey 77'","40' F. Draper
95' F. Draper",2023-06-05,'Sean Grant','Tolka Park',2533,2023
96,Cork City,Dundalk,1 - 2,19:45,,"20' L. Annesley
44' R. O'Kane
85' J. Martin",2023-06-09,'Robert Hennessy',"""Turner's Cross""",3815,2023
97,Derry City,Bohemians,0 - 0,19:45,,,2023-06-09,'Damien MacGraith','The Ryan McBride Brandywell Stadium',3274,2023
98,Drogheda United,St Patrick's Athletic,2 - 1,19:45,"A. Foley 18'
D. Markey 94'",45' C. Forrester,2023-06-09,'Paul McLaughlin','Weavers Park',1888,2023
99,Shelbourne,Sligo Rovers,1 - 1,19:45,M. Smith 4',34' N. Morahan,2023-06-09,'Robert Harvey','Tolka Park',2615,2023
100,Shamrock Rovers,UCD,4 - 0,20:00,"J. Byrne 26'
G. Burke 43'
K. Cruise 56'",15' H. O'Brien,2023-06-09,'David Dunne','Tallaght Stadium',5782,2023
101,Bohemians,Shamrock Rovers,2 - 2,19:45,"J. Afolabi 67'
J. Clarke 73'","48' N. Farrugia
54' M. Poom",2023-06-23,'Neil Doyle','Dalymount Park',4370,2023
102,Derry City,Cork City,2 - 0,19:45,"J. McGonigle 46'
T. McGinty 90'",,2023-06-23,'David Dunne','The Ryan McBride Brandywell Stadium',3274,2023
103,Drogheda United,Dundalk,1 - 2,19:45,A. Foley 9',"77' P. Hoban
80' P. Hoban",2023-06-23,'Robert Harvey','Weavers Park',2278,2023
104,St Patrick's Athletic,Shelbourne,1 - 0,19:45,J. Mulraney 69',,2023-06-23,'Robert Hennessy','Richmond Park',4754,2023
105,UCD,Sligo Rovers,2 - 1,19:45,"J. Keaney 22'
S. Clarke 74'
J. Doyle 85'",,2023-06-23,'Adriano Reale','UCD Bowl',304,2023
106,Dundalk,St Patrick's Athletic,1 - 1,19:45,D. Kelly 84',33' C. Carty,2023-06-26,'Damien MacGraith','Oriel Park',2371,2023
107,Shamrock Rovers,Derry City,1 - 0,20:00,R. Gaffney 27',,2023-06-26,'Robert Hennessy','Tallaght Stadium',5824,2023
108,Cork City,Drogheda United,1 - 1,19:45,J. O'Brien-Whitmarsh 81',67' A. Foley,2023-06-30,'Damien MacGraith',"""Turner's Cross""",3851,2023
109,Dundalk,Shamrock Rovers,2 - 0,19:45,"L. Annesley 74'
P. Hoban 77'",,2023-06-30,'Paul McLaughlin','Oriel Park',3156,2023
110,Shelbourne,Derry City,1 - 1,19:45,S. Boyd 57',71' B. Doherty,2023-06-30,'Robert Harvey','Tolka Park',3186,2023
111,St Patrick's Athletic,UCD,7 - 0,19:45,"C. Forrester 13'
S. Curtis 47'
T. Lonergan 65'
J. McClelland 69'
M. Melia 71'
T. Lonergan 75'",45' M. Gallagher,2023-06-30,'Neil Doyle','Richmond Park',3357,2023
112,Sligo Rovers,Bohemians,3 - 1,19:45,"K. Barlow 26'
M. Mata 42'
S. Radosavljević 56'",87' J. Afolabi,2023-06-30,'David Dunne','The Showgrounds',2108,2023
113,Derry City,Sligo Rovers,2 - 1,19:45,"J. McGonigle 30'
W. Patching 95'",41' D. Lafferty,2023-07-07,'Neil Doyle','The Ryan McBride Brandywell Stadium',3081,2023
114,Bohemians,Dundalk,3 - 2,19:45,"J. McManus 15'
J. O'Sullivan 81'
J. Afolabi 84'","23' J. Yli-Kokko
36' C. Malley",2023-07-07,'Robert Hennessy','Dalymount Park',4328,2023
115,Drogheda United,Shamrock Rovers,0 - 0,19:45,,,2023-07-07,"""Kevin O'Sullivan""",'Weavers Park',2284,2023
116,St Patrick's Athletic,Cork City,1 - 1,19:45,J. Mulraney 39',93' R. Keating,2023-07-07,'David Dunne','Richmond Park',3945,2023
117,UCD,Shelbourne,0 - 4,19:45,,"45' J. Moylan
66' J. Lunney
80' S. Boyd
91' J. Wilson",2023-07-07,'Damien MacGraith','UCD Bowl',1074,2023
118,Shelbourne,Bohemians,1 - 1,19:45,J. Moylan 56',80' J. Afolabi,2023-07-14,'Neil Doyle','Tolka Park',4450,2023
119,UCD,Drogheda United,1 - 3,19:45,D. Kinsella-Bishop 83',"19' R. Brennan
26' C. Keeley
72' A. Foley",2023-07-14,'Gavin Colfer','UCD Bowl',519,2023
120,Bohemians,UCD,2 - 0,19:45,"J. Afolabi 75'
J. Afolabi 89'",,2023-07-28,"""Kevin O'Sullivan""",'Dalymount Park',4142,2023
